T12,Expenditure on health,,,,,
499,Montenegro,2019,Domestic general government health expenditure (% of total government expenditure),11.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2000,Current health expenditure (% of GDP),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2005,Current health expenditure (% of GDP),4.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2010,Current health expenditure (% of GDP),5.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2017,Current health expenditure (% of GDP),5.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2018,Current health expenditure (% of GDP),5.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2019,Current health expenditure (% of GDP),5.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2000,Domestic general government health expenditure (% of total government expenditure),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2005,Domestic general government health expenditure (% of total government expenditure),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2010,Domestic general government health expenditure (% of total government expenditure),7.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2017,Domestic general government health expenditure (% of total government expenditure),7.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2018,Domestic general government health expenditure (% of total government expenditure),7.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
504,Morocco,2019,Domestic general government health expenditure (% of total government expenditure),7.1,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2000,Current health expenditure (% of GDP),2.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2005,Current health expenditure (% of GDP),4.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2010,Current health expenditure (% of GDP),5.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2017,Current health expenditure (% of GDP),7.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2018,Current health expenditure (% of GDP),8.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2019,Current health expenditure (% of GDP),7.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2000,Domestic general government health expenditure (% of total government expenditure),6.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2005,Domestic general government health expenditure (% of total government expenditure),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2010,Domestic general government health expenditure (% of total government expenditure),4.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2017,Domestic general government health expenditure (% of total government expenditure),5.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2018,Domestic general government health expenditure (% of total government expenditure),5.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
508,Mozambique,2019,Domestic general government health expenditure (% of total government expenditure),5.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2000,Current health expenditure (% of GDP),2.0,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2005,Current health expenditure (% of GDP),2.3,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2010,Current health expenditure (% of GDP),2.0,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2017,Current health expenditure (% of GDP),5.1,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2018,Current health expenditure (% of GDP),4.9,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2019,Current health expenditure (% of GDP),4.7,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2000,Domestic general government health expenditure (% of total government expenditure),1.4,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2005,Domestic general government health expenditure (% of total government expenditure),1.3,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2010,Domestic general government health expenditure (% of total government expenditure),1.4,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2017,Domestic general government health expenditure (% of total government expenditure),3.6,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2018,Domestic general government health expenditure (% of total government expenditure),3.5,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
104,Myanmar,2019,Domestic general government health expenditure (% of total government expenditure),3.6,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2000,Current health expenditure (% of GDP),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2005,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2010,Current health expenditure (% of GDP),9.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2017,Current health expenditure (% of GDP),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2018,Current health expenditure (% of GDP),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2019,Current health expenditure (% of GDP),8.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2000,Domestic general government health expenditure (% of total government expenditure),16.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2005,Domestic general government health expenditure (% of total government expenditure),16.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2010,Domestic general government health expenditure (% of total government expenditure),11.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2017,Domestic general government health expenditure (% of total government expenditure),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2018,Domestic general government health expenditure (% of total government expenditure),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
516,Namibia,2019,Domestic general government health expenditure (% of total government expenditure),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2000,Current health expenditure (% of GDP),18.1,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2005,Current health expenditure (% of GDP),10.3,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2010,Current health expenditure (% of GDP),12.7,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2017,Current health expenditure (% of GDP),11.6,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2018,Current health expenditure (% of GDP),8.6,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2019,Current health expenditure (% of GDP),9.8,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2000,Domestic general government health expenditure (% of total government expenditure),24.0,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2005,Domestic general government health expenditure (% of total government expenditure),25.4,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2010,Domestic general government health expenditure (% of total government expenditure),10.2,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2017,Domestic general government health expenditure (% of total government expenditure),8.4,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2018,Domestic general government health expenditure (% of total government expenditure),7.4,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
520,Nauru,2019,Domestic general government health expenditure (% of total government expenditure),6.8,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2000,Current health expenditure (% of GDP),3.1,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2005,Current health expenditure (% of GDP),3.9,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2010,Current health expenditure (% of GDP),4.4,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2017,Current health expenditure (% of GDP),4.7,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2018,Current health expenditure (% of GDP),4.5,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2019,Current health expenditure (% of GDP),4.4,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2000,Domestic general government health expenditure (% of total government expenditure),4.3,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2005,Domestic general government health expenditure (% of total government expenditure),6.3,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2010,Domestic general government health expenditure (% of total government expenditure),4.8,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2017,Domestic general government health expenditure (% of total government expenditure),4.5,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2018,Domestic general government health expenditure (% of total government expenditure),3.8,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
524,Nepal,2019,Domestic general government health expenditure (% of total government expenditure),4.0,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2000,Current health expenditure (% of GDP),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2005,Current health expenditure (% of GDP),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2010,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2017,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2018,Current health expenditure (% of GDP),10.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2019,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2000,Domestic general government health expenditure (% of total government expenditure),12.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2005,Domestic general government health expenditure (% of total government expenditure),14.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2010,Domestic general government health expenditure (% of total government expenditure),14.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2017,Domestic general government health expenditure (% of total government expenditure),15.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2018,Domestic general government health expenditure (% of total government expenditure),15.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
528,Netherlands,2019,Domestic general government health expenditure (% of total government expenditure),16.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2000,Current health expenditure (% of GDP),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2005,Current health expenditure (% of GDP),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2010,Current health expenditure (% of GDP),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2017,Current health expenditure (% of GDP),9.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2018,Current health expenditure (% of GDP),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2019,Current health expenditure (% of GDP),9.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2000,Domestic general government health expenditure (% of total government expenditure),14.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2005,Domestic general government health expenditure (% of total government expenditure),17.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2010,Domestic general government health expenditure (% of total government expenditure),17.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2017,Domestic general government health expenditure (% of total government expenditure),19.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2018,Domestic general government health expenditure (% of total government expenditure),18.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
554,New Zealand,2019,Domestic general government health expenditure (% of total government expenditure),18.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2000,Current health expenditure (% of GDP),5.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2005,Current health expenditure (% of GDP),6.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2010,Current health expenditure (% of GDP),7.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2017,Current health expenditure (% of GDP),8.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2018,Current health expenditure (% of GDP),8.6,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2019,Current health expenditure (% of GDP),8.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2000,Domestic general government health expenditure (% of total government expenditure),12.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2005,Domestic general government health expenditure (% of total government expenditure),11.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2010,Domestic general government health expenditure (% of total government expenditure),15.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2017,Domestic general government health expenditure (% of total government expenditure),18.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2018,Domestic general government health expenditure (% of total government expenditure),18.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
558,Nicaragua,2019,Domestic general government health expenditure (% of total government expenditure),18.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2000,Current health expenditure (% of GDP),4.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2005,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2010,Current health expenditure (% of GDP),5.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2017,Current health expenditure (% of GDP),5.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2018,Current health expenditure (% of GDP),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2019,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2000,Domestic general government health expenditure (% of total government expenditure),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2005,Domestic general government health expenditure (% of total government expenditure),12.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2010,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2017,Domestic general government health expenditure (% of total government expenditure),9.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2018,Domestic general government health expenditure (% of total government expenditure),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
562,Niger,2019,Domestic general government health expenditure (% of total government expenditure),9.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2000,Current health expenditure (% of GDP),3.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2005,Current health expenditure (% of GDP),4.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2010,Current health expenditure (% of GDP),3.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2017,Current health expenditure (% of GDP),3.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2018,Current health expenditure (% of GDP),3.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2019,Current health expenditure (% of GDP),3.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2000,Domestic general government health expenditure (% of total government expenditure),2.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2005,Domestic general government health expenditure (% of total government expenditure),6.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2010,Domestic general government health expenditure (% of total government expenditure),2.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2017,Domestic general government health expenditure (% of total government expenditure),4.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2018,Domestic general government health expenditure (% of total government expenditure),3.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
566,Nigeria,2019,Domestic general government health expenditure (% of total government expenditure),3.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2000,Current health expenditure (% of GDP),7.9,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2005,Current health expenditure (% of GDP),12.3,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2010,Current health expenditure (% of GDP),15.5,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2017,Current health expenditure (% of GDP),8.7,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2018,Current health expenditure (% of GDP),8.3,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2019,Current health expenditure (% of GDP),5.3,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2000,Domestic general government health expenditure (% of total government expenditure),6.6,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2005,Domestic general government health expenditure (% of total government expenditure),7.2,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
