T28,Water supply and sanitation services,,,,,
356,India,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",29.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",23.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",25.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",50.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",36.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",35.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",56.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",37.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",50.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
356,India,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",45.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
364,Iran (Islamic Republic of),2010,"Safely managed drinking water sources, urban (Proportion of population with access)",95.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
364,Iran (Islamic Republic of),2010,"Safely managed drinking water sources, rural (Proportion of population with access)",84.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
364,Iran (Islamic Republic of),2010,"Safely managed drinking water sources, total (Proportion of population with access)",92.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
364,Iran (Islamic Republic of),2015,"Safely managed drinking water sources, urban (Proportion of population with access)",96.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
364,Iran (Islamic Republic of),2015,"Safely managed drinking water sources, rural (Proportion of population with access)",85.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
364,Iran (Islamic Republic of),2015,"Safely managed drinking water sources, total (Proportion of population with access)",93.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
364,Iran (Islamic Republic of),2020,"Safely managed drinking water sources, urban (Proportion of population with access)",96.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
364,Iran (Islamic Republic of),2020,"Safely managed drinking water sources, rural (Proportion of population with access)",87.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
364,Iran (Islamic Republic of),2020,"Safely managed drinking water sources, total (Proportion of population with access)",94.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",62.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",37.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2010,"Safely managed drinking water sources, total (Proportion of population with access)",55.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",36.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",41.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",38.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",63.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",42.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2015,"Safely managed drinking water sources, total (Proportion of population with access)",57.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",40.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",41.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",64.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",47.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2020,"Safely managed drinking water sources, total (Proportion of population with access)",59.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",42.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",44.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
368,Iraq,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",42.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",72.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",67.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",70.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",84.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",70.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",79.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",88.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",73.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
372,Ireland,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",82.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
833,Isle of Man,2010,"Safely managed drinking water sources, total (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
833,Isle of Man,2015,"Safely managed drinking water sources, total (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
833,Isle of Man,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",99.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",99.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",87.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",85.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",87.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",99.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",91.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",89.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",91.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",99.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",99.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",92.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
376,Israel,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",95.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2010,"Safely managed drinking water sources, total (Proportion of population with access)",96.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",94.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",95.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2015,"Safely managed drinking water sources, total (Proportion of population with access)",95.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",94.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",95.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2020,"Safely managed drinking water sources, total (Proportion of population with access)",95.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",94.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
380,Italy,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",95.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
392,Japan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
392,Japan,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",77.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
392,Japan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
392,Japan,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",79.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
392,Japan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",98.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
392,Japan,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",81.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
400,Jordan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",64.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
400,Jordan,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",83.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
400,Jordan,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",79.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
400,Jordan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",74.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
400,Jordan,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",84.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
400,Jordan,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",81.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
400,Jordan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",85.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
400,Jordan,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",84.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
400,Jordan,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",82.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
398,Kazakhstan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",77.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
398,Kazakhstan,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",91.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
398,Kazakhstan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",86.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
398,Kazakhstan,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",91.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
398,Kazakhstan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",89.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
398,Kazakhstan,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",91.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
404,Kenya,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",59.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
404,Kenya,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",28.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
404,Kenya,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",58.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
404,Kenya,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",29.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
404,Kenya,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",57.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
404,Kenya,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",29.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
296,Kiribati,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",18.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
296,Kiribati,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",5.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
296,Kiribati,2010,"Safely managed drinking water sources, total (Proportion of population with access)",12.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
296,Kiribati,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
